Restaurante,Puntaje
Yakumanka,"4,5"
Restaurante Can Fusté,"4,5"
La Fonda del Port Olimpic,"4,0"
Matsuri Sushi Bar,"4,5"
Restaurante Salamanca,"3,5"
Bar Bacaro,"4,5"
Pizzeria Da Nanni BORN,"4,5"
Bar La Plata,"4,5"
Bacoa Burger Ferran,"4,5"
Le Cucine Mandarosso,"4,0"
O' Retorno Restaurant,"4,0"
Mayura,"4,0"
Escriba Gran Via,"4,0"
Nomo Galvany,"4,0"
Bun Bo Vietnam,"4,0"
La Taqueria,"4,0"
La Esquinica,"4,0"
Cuines Santa Caterina,"4,0"
Taktika Berri,"4,0"
Restaurante Addis Abeba,"4,5"
Can Kenji,"4,5"
Ristorante Margherita,"4,5"
Osmosis,"4,5"
Mont Bar,"4,5"
Vegetalia Born,"4,5"
L’ Amfora Barcelona,"4,5"
Ugot Bruncherie,"4,5"
El Argentino,"4,0"
Mako,"4,5"
Mediterráneo Ristorante,"4,5"
Oaxaca Cuina Mexicana - Restaurante y Mezcalería,"3,5"
Merendero de la Mari,"3,5"
La Dolça Herminia,"3,5"
Disfrutar,"4,5"
Nomo Gracia,"4,0"
Anauco Barcelona,"4,5"
Bar Lobo,"4,0"
Chéri,"4,0"
Bar Rodrigo,"4,5"
Velodromo,"3,5"
Els Pescadors,"3,5"
Can Majó,"4,0"
Compartir,"4,5"
Citrus Restaurant & Sushi bar,"3,5"
ABaC,"4,5"
Micu Maku,"4,5"
Barcelona 360,"4,0"
De Paula L'hamburgueseria del Poble Sec,"4,5"
Hungaryto,"4,5"
Off-street,"5,0"
Ristorante Pizzeria  Eden,"4,5"
Akashi Gallery,"4,5"
Da Greco,"4,0"
König Barcelona Centro,"4,0"
La Fabrica,"4,5"
Cera 23,"4,5"
Granja Petitbo,"4,0"
Vivo Tapas,"4,5"
Yashima,"4,0"
Mutenroshi Ramen,"4,0"
The Green Spot,"4,0"
Semproniana,"4,0"
La Rita,"4,0"
Recasens,"4,0"
Ceviche 103,"4,0"
El Nacional - La Taperia,"4,0"
Chen Ji,"4,0"
Out of China,"4,0"
Ikibana Sarriá,"4,0"
Chilango's Taqueria Barcelona,"4,5"
Petritxol Cafe,"4,5"
La Terraza del Claris,"4,5"
El Corte Ingles,"4,0"
Restaurante Igueldo,"4,5"
Giorgio Barcelona,"4,5"
Alquimia Barcelona,"5,0"
Mussol Aragó,"3,5"
La Botiga Arenas,"3,5"
Balthazar,"3,5"
Copasetic Barcelona,"4,5"
Restaurante argentino El Calafate,"4,5"
