Restaurante,Puntaje
El Bosc de Les Fades,"4,0"
Futami,"4,5"
Glaciar,"4,5"
Raffaelli Restaurante Italiano,"4,5"
Cerveceria Albayzin,"4,0"
ELS TRES PORQUETS,"4,0"
Restaurante Vivanda,"4,0"
Kyoka,"4,0"
Vi Negre,"4,0"
The Clock Terrace,"4,5"
Tast-Ller,"4,5"
Bambarol,"4,5"
Restaurante Tantarantana,"4,0"
Enrique Tomas en Barcelona,"3,5"
Anita Gelato Barcelona,"4,5"
Spirit Barcelona,"4,5"
Las Sorrentinas,"4,5"
Cheese's Art,"3,5"
Piu Restaurants,"3,5"
Cachitos Diagonal,"3,5"
Opera Samfaina,"3,5"
Lamun Cuinathai,"4,5"
Cachaca Restaurante,"4,5"
Narciso,"5,0"
Creps Barcelona,"4,0"
Bormuth,"4,0"
Restaurante La Tata,"4,0"
Chicha Bar Bodega,"4,0"
Can Pizza,"4,5"
Koska Taverna,"4,5"
Kailash Restaurante Tibetano,"4,5"
Kimchi Mama,"5,0"
O.G.G.I. Gelato,"5,0"
Monster Sushi Gala Placidia,"4,0"
Paco Alcalde,"4,0"
Restaurante Nogal,"4,0"
Pla de la Garsa,"4,5"
Taco Alto Raval,"4,5"
Nomo Sarrià,"4,5"
Portal De La Pau,"4,5"
Macchina Pasta Bar,"4,5"
Orea Barcelona,"5,0"
Restaurante Di Como Bcn,"4,5"
Kawamura,"4,5"
El Nido Restaurante - H1898,"4,5"
La Rioja,"4,5"
Comida De Olla,"4,5"
Maxi Restaurante,"3,5"
Restaurante Sannin,"4,5"
Pacha Barcelona Restaurant,"3,5"
BrewDog Barcelona,"4,0"
Segafredo Espresso Barcelona,"2,5"
Club de L'empanada,"4,5"
